"Marché";"Marché label";"Jour";"Jour dd/mm/yyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"12 - 13 heures";"7,15%";6;59,53;20
;;;;;"13 - 14 heures";"22,31%";14;79,56;76
;;;;;"14 - 15 heures";"10,97%";7;78,24;15
;;;;;"15 - 16 heures";"9,35%";8;58,37;29
;;;;;"16 - 17 heures";"21,02%";14;74,98;38
;;;;;"17 - 18 heures";"10,92%";7;77,9;54
;;;;;"18 - 19 heures";"1,30%";6;10,78;11
;;;;;"19 - 20 heures";"-1,08%";1;-53,77;1
;;;;;"20 - 21 heures";"6,97%";2;174,09;4
;;"21 Janvier 2015";"21/01/2015";"Total";;"100,00%";"--";"--";245
;;;;"Mercredi";"Total";"100,00%";"--";"--";245
;;;;;"10 - 11 heures";"6,83%";8;27,89;24
;;;;;"11 - 12 heures";"9,95%";8;40,62;22
;;;;;"12 - 13 heures";"5,95%";10;19,45;21
;;;;;"13 - 14 heures";"11,51%";3;125,39;5
;;;;;"14 - 15 heures";"12,11%";10;39,58;38
;;;;;"15 - 16 heures";"9,57%";13;24,04;18
;;;;;"16 - 17 heures";"8,98%";12;24,46;21
;;;;;"17 - 18 heures";"10,19%";9;37;21
;;;;;"18 - 19 heures";"11,24%";7;52,44;28
;;;;;"19 - 20 heures";"13,67%";5;89,33;48
;;"22 Janvier 2015";"22/01/2015";"Total";;"100,00%";"--";"--";252
;;;;"Jeudi";"Total";"100,00%";"--";"--";252
;;;;;"9 - 10 heures";"0,46%";1;28,6;2
;;;;;"10 - 11 heures";"15,22%";7;133,76;16
;;;;;"11 - 12 heures";"5,00%";8;38,42;33
;;;;;"12 - 13 heures";"8,50%";8;65,35;24
;;;;;"13 - 14 heures";"10,54%";6;108,05;25
;;;;;"14 - 15 heures";"10,92%";9;74,67;23
;;;;;"15 - 16 heures";"11,58%";8;89,02;46
;;;;;"16 - 17 heures";"9,48%";9;64,8;23
;;;;;"17 - 18 heures";"12,91%";8;99,26;16
;;;;;"18 - 19 heures";"6,39%";14;28,09;23
;;;;;"19 - 20 heures";"8,44%";5;103,81;15
;;;;;"20 - 21 heures";"0,56%";1;34,27;6
;;"23 Janvier 2015";"23/01/2015";"Total";;"100,00%";"--";"--";247
;;;;"Vendredi";"Total";"100,00%";"--";"--";247
;;;;;"10 - 11 heures";"6,93%";4;118,94;6
;;;;;"11 - 12 heures";"15,63%";4;268,37;20
;;;;;"12 - 13 heures";"14,43%";13;76,21;27
;;;;;"13 - 14 heures";"12,34%";11;77,04;25
;;;;;"14 - 15 heures";"5,29%";6;60,55;16
;;;;;"15 - 16 heures";"10,50%";11;65,54;45
;;;;;"16 - 17 heures";"2,36%";6;27,07;19
;;;;;"17 - 18 heures";"9,79%";11;61,14;38
;;;;;"18 - 19 heures";"9,95%";11;62,1;21
;;;;;"19 - 20 heures";"6,48%";7;63,59;20
;;;;;"20 - 21 heures";"6,30%";4;108,2;10
;;"24 Janvier 2015";"24/01/2015";"Total";;"100,00%";"--";"--";471
;;;;"Samedi";"Total";"100,00%";"--";"--";471
;;;;;"9 - 10 heures";"2,66%";2;127,75;4
;;;;;"10 - 11 heures";"9,10%";11;79,5;21
;;;;;"11 - 12 heures";"7,65%";13;56,53;49
;;;;;"12 - 13 heures";"7,82%";11;68,31;26
;;;;;"13 - 14 heures";"6,69%";14;45,94;48
;;;;;"14 - 15 heures";"9,53%";18;50,88;57
;;;;;"15 - 16 heures";"7,45%";15;47,7;42
;;;;;"16 - 17 heures";"10,06%";16;60,42;47
;;;;;"17 - 18 heures";"13,02%";19;65,88;77
;;;;;"18 - 19 heures";"14,05%";12;112,54;65
;;;;;"19 - 20 heures";"11,97%";17;67,67;35
;;"26 Janvier 2015";"26/01/2015";"Total";;"100,00%";"--";"--";241
;;;;"Lundi";"Total";"100,00%";"--";"--";241
;;;;;"10 - 11 heures";"1,24%";3;19,38;8
;;;;;"11 - 12 heures";"24,30%";16;71,09;43
;;;;;"12 - 13 heures";"2,10%";5;19,65;7
;;;;;"13 - 14 heures";"7,75%";8;45,34;32
;;;;;"14 - 15 heures";"12,35%";11;52,55;40
;;;;;"15 - 16 heures";"16,21%";12;63,24;29
;;;;;"16 - 17 heures";"13,67%";11;58,18;34
;;;;;"17 - 18 heures";"0,97%";4;11,35;5
;;;;;"18 - 19 heures";"4,34%";11;18,46;25
;;;;;"19 - 20 heures";"16,06%";4;187,97;14
;;;;;"20 - 21 heures";"1,01%";1;47,2;4
;;"27 Janvier 2015";"27/01/2015";"Total";;"100,00%";"--";"--";181
;;;;"Mardi";"Total";"100,00%";"--";"--";181
;;;;;"10 - 11 heures";"2,10%";5;14,28;6
;;;;;"11 - 12 heures";"13,92%";7;67,49;42
;;;;;"12 - 13 heures";"1,69%";3;19,07;6
;;;;;"13 - 14 heures";"3,45%";6;19,53;14
;;;;;"14 - 15 heures";"11,19%";8;47,44;21
;;;;;"15 - 16 heures";"21,79%";7;105,62;32
;;;;;"16 - 17 heures";"23,74%";7;115,06;23
;;;;;"17 - 18 heures";"7,57%";8;32,11;15
;;;;;"18 - 19 heures";"1,86%";3;21;9
;;;;;"19 - 20 heures";"12,69%";3;143,52;13
;;"28 Janvier 2015";"28/01/2015";"Total";;"100,00%";"--";"--";208
;;;;"Mercredi";"Total";"100,00%";"--";"--";208
;;;;;"9 - 10 heures";"0,66%";1;29,8;2
;;;;;"10 - 11 heures";"3,84%";2;86,89;14
;;;;;"11 - 12 heures";"3,86%";4;43,65;8
;;;;;"12 - 13 heures";"10,96%";10;49,56;31
;;;;;"13 - 14 heures";"1,35%";4;15,23;4
;;;;;"14 - 15 heures";"11,85%";10;53,57;32
;;;;;"15 - 16 heures";"13,51%";7;87,26;20
;;;;;"16 - 17 heures";"34,36%";16;97,09;61
;;;;;"17 - 18 heures";"2,78%";2;62,79;3
;;;;;"18 - 19 heures";"16,54%";7;106,83;31
;;;;;"19 - 20 heures";"0,28%";1;12,8;2
;;"29 Janvier 2015";"29/01/2015";"Total";;"100,00%";"--";"--";235
;;;;"Jeudi";"Total";"100,00%";"--";"--";235
;;;;;"10 - 11 heures";"11,62%";4;159,95;16
;;;;;"11 - 12 heures";"6,60%";6;60,58;20
;;;;;"12 - 13 heures";"10,68%";6;98,01;22
;;;;;"13 - 14 heures";"-0,07%";4;-0,98;7
;;;;;"14 - 15 heures";"3,41%";5;37,58;11
;;;;;"15 - 16 heures";"5,26%";11;26,34;19
;;;;;"16 - 17 heures";"14,60%";11;73,06;21
;;;;;"17 - 18 heures";"32,66%";12;149,8;68
;;;;;"18 - 19 heures";"5,15%";7;40,51;27
;;;;;"19 - 20 heures";"8,40%";6;77,07;13
;;;;;"20 - 21 heures";"1,68%";3;30,83;11
;;"30 Janvier 2015";"30/01/2015";"Total";;"100,00%";"--";"--";232
;;;;"Vendredi";"Total";"100,00%";"--";"--";232
;;;;;"9 - 10 heures";"0,49%";1;20;4
;;;;;"10 - 11 heures";"1,94%";4;19,93;8
;;;;;"11 - 12 heures";"3,08%";4;31,61;16
;;;;;"12 - 13 heures";"5,88%";6;40,25;23
;;;;;"13 - 14 heures";"11,94%";8;61,23;31
;;;;;"14 - 15 heures";"22,32%";9;101,79;26
;;;;;"15 - 16 heures";"2,59%";4;26,55;13
;;;;;"16 - 17 heures";"27,99%";15;76,58;39
;;;;;"17 - 18 heures";"6,05%";8;31,01;16
;;;;;"18 - 19 heures";"2,63%";6;17,98;16
;;;;;"19 - 20 heures";"14,13%";7;82,83;38
;;;;;"20 - 21 heures";"0,97%";1;40;2
;;"31 Janvier 2015";"31/01/2015";"Total";;"100,00%";"--";"--";399
;;;;"Samedi";"Total";"100,00%";"--";"--";399
;;;;;"9 - 10 heures";"0,50%";1;49,9;1
;;;;;"10 - 11 heures";"1,75%";4;43,81;10
;;;;;"11 - 12 heures";"3,37%";11;30,71;24
;;;;;"12 - 13 heures";"9,66%";12;80,74;31
;;;;;"13 - 14 heures";"3,94%";8;49,37;19
;;;;;"14 - 15 heures";"10,58%";10;106,04;28
;;;;;"15 - 16 heures";"9,50%";12;79,39;57
;;;;;"16 - 17 heures";"14,81%";15;99,02;36
;;;;;"17 - 18 heures";"20,63%";17;121,68;73
;;;;;"18 - 19 heures";"21,61%";18;120,37;90
;;;;;"19 - 20 heures";"3,65%";10;36,58;30
;;"02 Février 2015";"02/02/2015";"Total";;"100,00%";"--";"--";149
;;;;"Lundi";"Total";"100,00%";"--";"--";149
;;;;;"10 - 11 heures";"4,30%";5;27,45;12
;;;;;"11 - 12 heures";"6,30%";2;100,43;-2
;;;;;"12 - 13 heures";"4,06%";6;21,6;10
;;;;;"13 - 14 heures";"6,40%";9;22,68;21
;;;;;"14 - 15 heures";"8,62%";6;45,82;13
;;;;;"15 - 16 heures";"12,02%";7;54,81;16
;;;;;"16 - 17 heures";"32,20%";11;93,4;23
;;;;;"17 - 18 heures";"3,07%";6;16,34;10
;;;;;"18 - 19 heures";"10,76%";6;57,21;28
;;;;;"19 - 20 heures";"12,27%";7;55,92;18
;;"03 Février 2015";"03/02/2015";"Total";;"100,00%";"--";"--";121
;;;;"Mardi";"Total";"100,00%";"--";"--";121
;;;;;"10 - 11 heures";"2,83%";2;34,25;2
;;;;;"11 - 12 heures";"6,20%";3;50,11;15
;;;;;"12 - 13 heures";"3,73%";3;30,14;12
;;;;;"13 - 14 heures";"2,50%";4;15,16;9
;;;;;"14 - 15 heures";"5,33%";4;32,3;12
;;;;;"15 - 16 heures";"16,60%";4;100,52;19
;;;;;"16 - 17 heures";"20,05%";7;69,4;16
;;;;;"17 - 18 heures";"17,17%";6;69,32;13
;;;;;"18 - 19 heures";"10,36%";3;83,65;12
;;;;;"19 - 20 heures";"15,23%";4;92,24;11
;;"04 Février 2015";"04/02/2015";"Total";;"100,00%";"--";"--";145
;;;;"Mercredi";"Total";"100,00%";"--";"--";145
;;;;;"10 - 11 heures";"0,79%";1;20,65;5
;;;;;"11 - 12 heures";"12,98%";5;67,95;19
;;;;;"12 - 13 heures";"14,53%";5;76,08;6
;;;;;"13 - 14 heures";"4,31%";3;37,58;12
;;;;;"14 - 15 heures";"5,88%";6;25,68;17
;;;;;"15 - 16 heures";"7,14%";4;46,76;28
;;;;;"16 - 17 heures";"24,48%";8;80,11;27
;;;;;"17 - 18 heures";"15,14%";6;66,07;17
;;;;;"18 - 19 heures";"11,44%";7;42,77;11
;;;;;"19 - 20 heures";"3,09%";1;80,9;2
;;;;;"20 - 21 heures";"0,23%";1;6;1
;;"05 Février 2015";"05/02/2015";"Total";;"100,00%";"--";"--";221
;;;;"Jeudi";"Total";"100,00%";"--";"--";221
;;;;;"9 - 10 heures";"2,33%";1;97,3;10
;;;;;"10 - 11 heures";"8,92%";6;62,11;25
;;;;;"11 - 12 heures";"5,20%";3;72,37;12
;;;;;"12 - 13 heures";"8,48%";8;44,29;26
;;;;;"13 - 14 heures";"4,40%";5;36,72;12
;;;;;"14 - 15 heures";"21,78%";7;129,94;28
;;;;;"15 - 16 heures";"13,38%";9;62,1;34
;;;;;"16 - 17 heures";"17,83%";10;74,48;23
;;;;;"17 - 18 heures";"10,02%";5;83,68;25
;;;;;"18 - 19 heures";"5,39%";7;32,15;15
;;;;;"19 - 20 heures";"2,00%";4;20,93;9
;;;;;"20 - 21 heures";"0,26%";2;5,5;2
;;"06 Février 2015";"06/02/2015";"Total";;"100,00%";"--";"--";164
;;;;"Vendredi";"Total";"100,00%";"--";"--";164
;;;;;"10 - 11 heures";"0,35%";1;13,6;2
;;;;;"11 - 12 heures";"8,51%";3;109,1;16
;;;;;"12 - 13 heures";"11,75%";6;75,31;21
;;;;;"13 - 14 heures";"11,29%";7;62,02;15
;;;;;"14 - 15 heures";"9,24%";5;71,03;10
;;;;;"15 - 16 heures";"8,11%";8;39;21
;;;;;"16 - 17 heures";"5,57%";8;26,78;12
;;;;;"17 - 18 heures";"15,71%";11;54,92;34
;;;;;"18 - 19 heures";"7,51%";6;48,11;15
;;;;;"19 - 20 heures";"21,95%";7;120,57;18
;;"07 Février 2015";"07/02/2015";"Total";;"100,00%";"--";"--";186
;;;;"Samedi";"Total";"100,00%";"--";"--";186
;;;;;"10 - 11 heures";"6,65%";2;161,05;5
;;;;;"11 - 12 heures";"1,35%";3;21,8;6
;;;;;"12 - 13 heures";"10,66%";10;51,57;17
;;;;;"13 - 14 heures";"10,92%";4;132,18;11
;;;;;"14 - 15 heures";"17,54%";10;84,89;21
;;;;;"15 - 16 heures";"17,79%";9;95,65;30
;;;;;"16 - 17 heures";"19,16%";12;77,26;23
;;;;;"17 - 18 heures";"7,72%";8;46,7;37
;;;;;"18 - 19 heures";"6,06%";8;36,69;30
;;;;;"19 - 20 heures";"1,70%";3;27,37;4
;;;;;"20 - 21 heures";"0,45%";1;22;2
;;"09 Février 2015";"09/02/2015";"Total";;"100,00%";"--";"--";142
;;;;"Lundi";"Total";"100,00%";"--";"--";142
;;;;;"10 - 11 heures";"3,91%";2;44,93;5
;;;;;"11 - 12 heures";"7,00%";3;53,54;7
;;;;;"12 - 13 heures";"15,01%";8;43,05;13
;;;;;"13 - 14 heures";"4,28%";3;32,73;14
;;;;;"14 - 15 heures";"5,58%";5;25,6;12
;;;;;"15 - 16 heures";"12,96%";6;49,56;10
;;;;;"16 - 17 heures";"24,89%";11;51,93;33
;;;;;"17 - 18 heures";"7,98%";4;45,8;7
;;;;;"18 - 19 heures";"10,05%";7;32,97;19
;;;;;"19 - 20 heures";"8,35%";4;47,91;22
;;"10 Février 2015";"10/02/2015";"Total";;"100,00%";"--";"--";218
;;;;"Mardi";"Total";"100,00%";"--";"--";218
;;;;;"9 - 10 heures";"0,43%";1;20,58;3
;;;;;"10 - 11 heures";"0,63%";1;30;2
;;;;;"11 - 12 heures";"7,98%";7;54,46;35
;;;;;"12 - 13 heures";"2,53%";3;40,34;3
;;;;;"13 - 14 heures";"7,74%";8;46,25;17
;;;;;"14 - 15 heures";"4,59%";4;54,85;11
;;;;;"15 - 16 heures";"30,61%";18;81,25;42
;;;;;"16 - 17 heures";"14,63%";10;69,87;52
;;;;;"17 - 18 heures";"7,92%";9;42,06;17
;;;;;"18 - 19 heures";"16,35%";8;97,65;27
;;;;;"19 - 20 heures";"6,57%";1;314;9
;;"11 Février 2015";"11/02/2015";"Total";;"100,00%";"--";"--";178
;;;;"Mercredi";"Total";"100,00%";"--";"--";178
;;;;;"10 - 11 heures";"0,60%";1;17,78;3
;;;;;"11 - 12 heures";"5,73%";2;85,6;2
;;;;;"12 - 13 heures";"6,47%";6;32,23;7
;;;;;"13 - 14 heures";"10,23%";4;76,37;15
;;;;;"14 - 15 heures";"24,89%";8;92,92;33
;;;;;"15 - 16 heures";"16,35%";14;34,89;33
;;;;;"16 - 17 heures";"5,89%";6;29,34;18
;;;;;"17 - 18 heures";"11,16%";9;37,03;30
;;;;;"18 - 19 heures";"15,43%";9;51,21;28
;;;;;"19 - 20 heures";"3,09%";5;18,45;8
;;;;;"20 - 21 heures";"0,17%";1;5,04;1
;;"12 Février 2015";"12/02/2015";"Total";;"100,00%";"--";"--";129
;;;;"Jeudi";"Total";"100,00%";"--";"--";129
;;;;;"10 - 11 heures";"0,03%";1;0,81;3
;;;;;"11 - 12 heures";"7,63%";4;47,23;6
;;;;;"12 - 13 heures";"2,78%";6;11,48;7
;;;;;"13 - 14 heures";"12,74%";7;45,07;15
;;;;;"14 - 15 heures";"2,37%";2;29,34;5
;;;;;"15 - 16 heures";"13,44%";11;30,25;17
;;;;;"16 - 17 heures";"14,15%";8;43,78;12
;;;;;"17 - 18 heures";"19,38%";7;68,55;16
;;;;;"18 - 19 heures";"4,45%";5;22,02;9
;;;;;"19 - 20 heures";"20,39%";6;84,11;33
;;;;;"20 - 21 heures";"2,63%";1;65,1;6
;;"13 Février 2015";"13/02/2015";"Total";;"100,00%";"--";"--";210
;;;;"Vendredi";"Total";"100,00%";"--";"--";210
;;;;;"11 - 12 heures";"5,42%";7;36,6;10
;;;;;"12 - 13 heures";"6,76%";9;35,51;12
;;;;;"13 - 14 heures";"2,45%";5;23,18;18
;;;;;"14 - 15 heures";"2,14%";4;25,26;12
;;;;;"15 - 16 heures";"33,80%";11;145,35;47
;;;;;"16 - 17 heures";"27,39%";16;80,98;69
;;;;;"17 - 18 heures";"10,02%";10;47,42;18
;;;;;"18 - 19 heures";"10,57%";6;83,34;17
;;;;;"19 - 20 heures";"1,38%";2;32,7;6
;;;;;"20 - 21 heures";"0,06%";1;2,95;1
;;"14 Février 2015";"14/02/2015";"Total";;"100,00%";"--";"--";309
;;;;"Samedi";"Total";"100,00%";"--";"--";309
;;;;;"10 - 11 heures";"13,02%";6;153,58;30
;;;;;"11 - 12 heures";"0,34%";1;23,9;3
;;;;;"12 - 13 heures";"8,37%";7;84,65;15
;;;;;"13 - 14 heures";"1,09%";4;19,31;5
;;;;;"14 - 15 heures";"35,29%";5;499,57;108
;;;;;"15 - 16 heures";"7,27%";10;51,47;21
;;;;;"16 - 17 heures";"15,95%";12;94,05;56
;;;;;"17 - 18 heures";"10,63%";14;53,73;42
;;;;;"18 - 19 heures";"2,95%";5;41,75;8
;;;;;"19 - 20 heures";"5,10%";6;60,11;20
;;"16 Février 2015";"16/02/2015";"Total";;"100,00%";"--";"--";112
;;;;"Lundi";"Total";"100,00%";"--";"--";112
;;;;;"10 - 11 heures";"3,08%";2;29,33;9
;;;;;"11 - 12 heures";"9,31%";6;29,56;11
;;;;;"12 - 13 heures";"2,41%";2;23;3
;;;;;"13 - 14 heures";"3,74%";2;35,67;5
;;;;;"14 - 15 heures";"10,80%";6;34,29;18
;;;;;"15 - 16 heures";"3,99%";2;37,99;2
;;;;;"16 - 17 heures";"9,55%";4;45,49;7
;;;;;"17 - 18 heures";"31,32%";12;49,72;33
;;;;;"18 - 19 heures";"20,04%";6;63,63;17
;;;;;"19 - 20 heures";"5,77%";2;54,99;7
;;"17 Février 2015";"17/02/2015";"Total";;"100,00%";"--";"--";121
;;;;"Mardi";"Total";"100,00%";"--";"--";121
;;;;;"10 - 11 heures";"4,89%";2;37,5;2
;;;;;"11 - 12 heures";"2,20%";2;16,9;7
;;;;;"12 - 13 heures";"5,96%";4;22,85;10
;;;;;"13 - 14 heures";"4,56%";4;17,48;14
;;;;;"14 - 15 heures";"16,19%";9;27,59;19
;;;;;"15 - 16 heures";"16,61%";7;36,4;16
;;;;;"16 - 17 heures";"8,99%";5;27,59;25
;;;;;"17 - 18 heures";"13,97%";4;53,59;5
;;;;;"18 - 19 heures";"8,69%";3;44,44;17
;;;;;"19 - 20 heures";"17,93%";2;137,5;6
;;"18 Février 2015";"18/02/2015";"Total";;"100,00%";"--";"--";89
;;;;"Mercredi";"Total";"100,00%";"--";"--";89
;;;;;"11 - 12 heures";"3,70%";2;54,25;10
;;;;;"12 - 13 heures";"27,13%";3;265,33;18
;;;;;"13 - 14 heures";"6,95%";1;204;2
;;;;;"14 - 15 heures";"30,71%";2;450,5;19
;;;;;"15 - 16 heures";"3,10%";2;45,5;2
;;;;;"16 - 17 heures";"18,87%";6;92,25;14
;;;;;"17 - 18 heures";"3,43%";3;33,5;21
;;;;;"18 - 19 heures";"6,10%";3;59,67;3
;;"19 Février 2015";"19/02/2015";"Total";;"100,00%";"--";"--";42
;;;;"Jeudi";"Total";"100,00%";"--";"--";42
;;;;;"10 - 11 heures";"39,17%";1;554;6
;;;;;"11 - 12 heures";"2,33%";2;16,45;2
;;;;;"13 - 14 heures";"1,59%";2;11,25;2
;;;;;"14 - 15 heures";"1,10%";1;15,5;1
;;;;;"15 - 16 heures";"17,39%";6;41;13
;;;;;"16 - 17 heures";"2,26%";1;32;1
;;;;;"17 - 18 heures";"28,74%";3;135,47;15
;;;;;"18 - 19 heures";"7,42%";1;105;2
;;"20 Février 2015";"20/02/2015";"Total";;"100,00%";"--";"--";25
;;;;"Vendredi";"Total";"100,00%";"--";"--";25
;;;;;"11 - 12 heures";"15,34%";3;31,55;5
;;;;;"12 - 13 heures";"3,40%";1;21;1
;;;;;"14 - 15 heures";"30,35%";4;46,82;6
;;;;;"15 - 16 heures";"18,79%";2;58;3
;;;;;"16 - 17 heures";"-30,70%";1;-189,5;-1
;;;;;"17 - 18 heures";"30,46%";2;94;2
;;;;;"18 - 19 heures";"29,46%";4;45,46;8
;;;;;"19 - 20 heures";"2,90%";1;17,9;1
;;"21 Février 2015";"21/02/2015";"Total";;"100,00%";"--";"--";40
;;;;"Samedi";"Total";"100,00%";"--";"--";40
;;;;;"10 - 11 heures";"2,02%";2;9,25;2
;;;;;"11 - 12 heures";"2,86%";1;26,1;1
;;;;;"12 - 13 heures";"12,37%";3;37,66;5
;;;;;"13 - 14 heures";"17,57%";3;53,5;7
;;;;;"14 - 15 heures";"3,11%";2;14,2;2
;;;;;"15 - 16 heures";"12,44%";2;56,83;5
;;;;;"16 - 17 heures";"20,08%";5;36,69;7
;;;;;"17 - 18 heures";"15,88%";2;72,53;2
;;;;;"18 - 19 heures";"6,79%";1;62;5
;;;;;"19 - 20 heures";"6,90%";3;21;4
;;"23 Février 2015";"23/02/2015";"Total";;"100,00%";"--";"--";36
;;;;"Lundi";"Total";"100,00%";"--";"--";36
;;;;;"9 - 10 heures";"8,95%";1;74,5;5
;;;;;"10 - 11 heures";"0,59%";1;4,95;1
;;;;;"11 - 12 heures";"5,99%";4;12,48;4
;;;;;"12 - 13 heures";"60,62%";2;252,4;13
;;;;;"13 - 14 heures";"1,26%";1;10,5;1
;;;;;"15 - 16 heures";"0,90%";-1;-7,51;0
;;;;;"16 - 17 heures";"18,99%";4;39,53;11
;;;;;"17 - 18 heures";"2,70%";1;22,5;1
;;"24 Février 2015";"24/02/2015";"Total";;"100,00%";"--";"--";40
;;;;"Mardi";"Total";"100,00%";"--";"--";40
;;;;;"10 - 11 heures";"1,79%";2;8,98;2
;;;;;"11 - 12 heures";"2,50%";1;25;1
;;;;;"12 - 13 heures";"19,29%";3;64,32;8
;;;;;"13 - 14 heures";"2,18%";2;10,9;3
;;;;;"14 - 15 heures";"15,59%";1;156;4
;;;;;"15 - 16 heures";"20,48%";4;51,23;4
;;;;;"16 - 17 heures";"19,47%";3;64,93;4
;;;;;"17 - 18 heures";"7,00%";2;35;6
;;;;;"18 - 19 heures";"7,79%";2;38,98;2
;;;;;"19 - 20 heures";"3,90%";1;39;6
;;"25 Février 2015";"25/02/2015";"Total";;"100,00%";"--";"--";52
;;;;"Mercredi";"Total";"100,00%";"--";"--";52
;;;;;"11 - 12 heures";"22,63%";2;109;6
;;;;;"13 - 14 heures";"5,81%";2;28;2
;;;;;"14 - 15 heures";"36,85%";7;50,7;14
;;;;;"15 - 16 heures";"13,07%";8;15,74;10
;;;;;"16 - 17 heures";"9,14%";4;22,01;6
;;;;;"17 - 18 heures";"9,22%";3;29,6;13
;;;;;"19 - 20 heures";"3,27%";1;31,5;1
;;"26 Février 2015";"26/02/2015";"Total";;"100,00%";"--";"--";31
;;;;"Jeudi";"Total";"100,00%";"--";"--";31
;;;;;"10 - 11 heures";"14,61%";3;31,2;6
;;;;;"11 - 12 heures";"4,67%";1;29,9;1
;;;;;"12 - 13 heures";"12,47%";2;39,95;4
;;;;;"13 - 14 heures";"5,93%";1;38;2
;;;;;"14 - 15 heures";"4,59%";1;29,4;6
;;;;;"15 - 16 heures";"6,09%";1;39;2
;;;;;"16 - 17 heures";"3,12%";1;20;1
;;;;;"17 - 18 heures";"45,73%";4;73,25;8
;;;;;"19 - 20 heures";"2,79%";1;17,9;1
;;"27 Février 2015";"27/02/2015";"Total";;"100,00%";"--";"--";38
;;;;"Vendredi";"Total";"100,00%";"--";"--";38
;;;;;"10 - 11 heures";"1,89%";1;18;4
;;;;;"12 - 13 heures";"1,89%";1;18;1
;;;;;"13 - 14 heures";"2,40%";1;22,9;1
;;;;;"15 - 16 heures";"2,63%";2;12,55;4
;;;;;"16 - 17 heures";"11,46%";6;18,22;9
;;;;;"17 - 18 heures";"17,05%";4;40,67;11
;;;;;"18 - 19 heures";"61,42%";2;292,9;4
;;;;;"19 - 20 heures";"1,26%";1;12;4
;;"28 Février 2015";"28/02/2015";"Total";;"100,00%";"--";"--";68
;;;;"Samedi";"Total";"100,00%";"--";"--";68
;;;;;"10 - 11 heures";"1,51%";1;29,99;1
;;;;;"11 - 12 heures";"8,72%";2;86,5;5
;;;;;"12 - 13 heures";"2,86%";2;28,4;4
;;;;;"14 - 15 heures";"12,89%";2;127,9;3
;;;;;"15 - 16 heures";"30,82%";13;47,05;23
;;;;;"16 - 17 heures";"25,57%";7;72,5;13
;;;;;"17 - 18 heures";"4,90%";5;19,44;13
;;;;;"18 - 19 heures";"3,27%";2;32,4;3
;;;;;"19 - 20 heures";"9,47%";2;93,95;3
;;"02 Mars 2015";"02/03/2015";"Total";;"100,00%";"--";"--";25
;;;;"Lundi";"Total";"100,00%";"--";"--";25
;;;;;"11 - 12 heures";"5,49%";2;24,08;2
;;;;;"12 - 13 heures";"3,99%";3;11,67;4
;;;;;"14 - 15 heures";"8,93%";1;78,32;2
;;;;;"15 - 16 heures";"5,77%";2;25,3;6
;;;;;"16 - 17 heures";"22,71%";3;66,39;3
;;;;;"17 - 18 heures";"53,12%";4;116,48;8
;;"03 Mars 2015";"03/03/2015";"Total";;"100,00%";"--";"--";32
;;;;"Mardi";"Total";"100,00%";"--";"--";32
;;;;;"10 - 11 heures";"6,42%";1;41,3;1
;;;;;"11 - 12 heures";"15,50%";3;33,23;5
;;;;;"12 - 13 heures";"6,84%";1;44;3
;;;;;"14 - 15 heures";"8,55%";2;27,5;8
;;;;;"15 - 16 heures";"37,75%";3;80,92;6
;;;;;"16 - 17 heures";"11,65%";2;37,45;4
;;;;;"17 - 18 heures";"2,71%";1;17,43;1
;;;;;"18 - 19 heures";"10,57%";1;68;4
;;"04 Mars 2015";"04/03/2015";"Total";;"100,00%";"--";"--";209
;;;;"Mercredi";"Total";"100,00%";"--";"--";209
;;;;;"10 - 11 heures";"6,27%";7;48,07;10
;;;;;"11 - 12 heures";"9,85%";8;66,08;30
;;;;;"12 - 13 heures";"3,87%";5;41,5;8
;;;;;"13 - 14 heures";"9,15%";8;61,39;20
;;;;;"14 - 15 heures";"17,85%";7;136,87;27
;;;;;"15 - 16 heures";"6,07%";8;40,7;14
;;;;;"16 - 17 heures";"16,56%";14;63,47;49
;;;;;"17 - 18 heures";"5,35%";1;287,07;9
;;;;;"18 - 19 heures";"8,85%";6;79,11;19
;;;;;"19 - 20 heures";"8,39%";6;75,02;20
;;;;;"20 - 21 heures";"7,80%";1;418,32;3
;;"05 Mars 2015";"05/03/2015";"Total";;"100,00%";"--";"--";140
;;;;"Jeudi";"Total";"100,00%";"--";"--";140
;;;;;"9 - 10 heures";"3,53%";1;98,91;7
;;;;;"10 - 11 heures";"12,81%";4;89,6;24
;;;;;"11 - 12 heures";"6,80%";3;63,48;9
;;;;;"12 - 13 heures";"6,20%";5;34,73;8
;;;;;"13 - 14 heures";"1,03%";2;14,43;4
;;;;;"14 - 15 heures";"10,03%";8;35,11;15
;;;;;"15 - 16 heures";"5,22%";5;29,21;14
;;;;;"16 - 17 heures";"11,62%";4;81,3;7
;;;;;"17 - 18 heures";"14,20%";8;49,69;23
;;;;;"18 - 19 heures";"22,21%";7;88,8;22
;;;;;"19 - 20 heures";"6,33%";4;44,31;7
;;"06 Mars 2015";"06/03/2015";"Total";;"100,00%";"--";"--";124
;;;;"Vendredi";"Total";"100,00%";"--";"--";124
;;;;;"10 - 11 heures";"1,07%";2;17,65;2
;;;;;"11 - 12 heures";"3,95%";7;18,62;8
;;;;;"12 - 13 heures";"1,43%";2;23,5;2
;;;;;"13 - 14 heures";"15,15%";6;83,26;49
